"","SYMBOL","ENTREZID"
"1","F2","2147"
"2","EGFR","1956"
"3","FCGR3B","2215"
"4","C1QA","712"
"5","C1QB","713"
"6","C1QC","714"
"7","FCGR3A","2214"
"8","FCGR1A","2209"
"9","FCGR2A","2212"
"10","IL2RA","3559"
"11","IL2RB","3560"
"12","IL2RG","3561"
"13","TNF","7124"
"14","FCGR2B","2213"
"15","FCGR2C","9103"
"16","LTA","4049"
"17","GNRHR","2798"
"18","IFNAR2","3455"
"19","IFNAR1","3454"
"20","PLG","5340"
"21","FGA","2243"
"22","PLAUR","5329"
"23","SERPINE1","5054"
"24","GHRHR","2692"
"25","EPOR","2057"
"26","SERPINB2","5055"
"27","SERPINA5","5104"
"28","LRP2","4036"
"29","ST14","6768"
"30","NID1","4811"
"31","LHCGR","3973"
"32","CALCR","799"
"33","CSF3R","1441"
"34","CSF2RA","1438"
"35","IL3RA","3563"
"36","CSF2RB","1439"
"37","SDC2","6383"
"38","PRG2","5553"
"39","TSHR","7253"
"40","F10","2159"
"41","F9","2158"
"42","VWF","7450"
"43","ASGR2","433"
"44","HSPA5","3309"
"45","CALR","811"
"46","CANX","821"
"47","LMAN1","3998"
"48","LRP1","4035"
"49","MCFD2","90411"
"50","IL1R1","3554"
"52","C3","718"
"53","C4A","720"
"54","C4B","721"
"55","C5","727"
"56","INSR","3643"
"57","IGF1R","3480"
"58","CPE","1363"
"60","IGFBP7","3490"
"61","CLEC3B","7123"
"62","ANXA2","302"
"63","FSHR","2492"
"64","IFNGR1","3459"
"65","IFNGR2","3460"
"66","AVPR2","554"
"67","AVPR1A","552"
"68","AVPR1B","553"
"69","TFPI","7035"
"70","GGCX","2677"
"71","F7","2155"
"72","F3","2152"
"73","IL11RA","3590"
"74","FGFR2","2263"
"75","FGFR1","2260"
"76","HSPG2","3339"
"77","GCGR","2642"
"78","GLP2R","9340"
"79","GLP1R","2740"
"80","VAMP2","6844"
"81","VAMP1","6843"
"82","SYT2","127833"
"83","FCER1A","2205"
"84","MS4A2","2206"
"85","TLR2","7097"
"86","COL1A1","1277"
"87","COL2A1","1280"
"88","COL3A1","1281"
"89","GHR","2690"
"90","PRLR","5618"
"91","ITGB3","3690"
"92","ITGA2B","3674"
"93","VTN","7448"
"94","F8","2157"
"95","F5","2153"
"96","THBD","7056"
"97","PROS1","5627"
"98","PF4","5196"
"99","SERPINB6","5269"
"100","PROCR","10544"
"101","CD33","945"
"102","ELANE","1991"
"103","GRB2","2885"
"104","OXTR","5021"
"105","TGFB1","7040"
"106","ERBB2","2064"
"107","MS4A1","931"
"108","CD3D","915"
"109","CD3E","916"
"110","CD3G","917"
"111","CD247","919"
"112","SNAP25","6616"
"113","RHOB","388"
"114","F2R","2149"
"115","CD52","1043"
"116","FOLH1","2346"
"117","CAMLG","819"
"118","PPP3R2","5535"
"119","PPIA","5478"
"121","CD2","914"
"122","ITGAL","3683"
"123","ITGAX","3687"
"124","CD1A","909"
"125","MR1","3140"
"126","CD86","942"
"127","CD4","920"
"128","ITGB1","3688"
"129","ITGAV","3685"
"130","F11","2160"
"131","PDGFRB","5159"
"132","PDGFRA","5156"
"133","A2M","2"
"134","ITGA4","3676"
"135","ICAM1","3383"
"139","C1R","715"
"140","VEGFA","7422"
"141","CEACAM1","634"
"142","GAD1","2571"
"143","CBS","875"
"144","KYNU","8942"
"146","ODC1","4953"
"147","PNPO","55163"
"148","SGPL1","8879"
"149","TAT","6898"
"152","SPTLC2","9517"
"153","CSAD","51380"
"154","HDC","3067"
"155","SDS","10993"
"156","GPT","2875"
"157","PSAT1","29968"
"159","AGXT","189"
"160","PDXP","57026"
"161","SPTLC1","10558"
"162","CTH","1491"
"164","DDC","1644"
"168","ALAS1","211"
"170","SCLY","51540"
"171","IGSF10","285313"
"172","PHYKPL","85007"
"173","GPT2","84706"
"174","MOCOS","55034"
"175","SDSL","113675"
"176","SRR","63826"
"177","SEPSECS","51091"
"178","SPTLC3","55304"
"181","MTR","4548"
"182","MTRR","4552"
"183","MMACHC","25974"
"184","MTHFR","4524"
"186","ALDH1L1","10840"
"187","FTCD","10841"
"188","ATIC","471"
"189","SLC38A3","10991"
"190","HAL","3034"
"191","GNMT","27232"
"192","AMD1","262"
"193","MAT2A","4144"
"194","MAT1A","4143"
"195","COMT","1312"
"196","CMTR1","23070"
"197","AS3MT","57412"
"198","SLC16A3","9123"
"199","SLC16A2","6567"
"200","SLC16A5","9121"
"201","PKLR","5313"
"202","SLC16A6","9120"
"203","SLC16A7","9194"
"204","PKM","5315"
"205","SLC16A4","9122"
"206","SLC16A8","23539"
"207","SLC16A1","6566"
"208","SLC7A8","23428"
"209","FARSA","2193"
"211","PAH","5053"
"212","FARSB","10056"
"214","TH","7054"
"215","HLCS","3141"
"216","ACACB","32"
"217","ACACA","31"
"218","PCYT1B","9468"
"219","ACHE","43"
"220","PCYT1A","5130"
"221","PLD2","5338"
"222","BCHE","590"
"223","PLD1","5337"
"224","PHOSPHO1","162466"
"225","CHRNA7","1139"
"226","SLC7A1","6541"
"227","SLC7A4","6545"
"228","SLC7A3","84889"
"230","ASL","435"
"231","ASS1","445"
"235","BBOX1","8424"
"236","DBH","1621"
"237","PAM","5066"
"238","P3H1","64175"
"239","P3H2","55214"
"240","P3H3","10536"
"241","P4HA1","5033"
"242","OGFOD2","79676"
"243","ALKBH3","221120"
"244","KDM5D","8284"
"245","P4HTM","54681"
"246","EGLN1","54583"
"247","EGLN2","112398"
"248","EGLN3","112399"
"249","SMS","6611"
"250","SMOX","54498"
"251","CASR","846"
"252","ADRB1","153"
"253","ADRB2","154"
"254","RNASE1","6035"
"255","LYZ","4069"
"256","SLC25A13","10165"
"257","ASPA","443"
"258","ASNS","440"
"259","ACY1","95"
"260","SLC25A12","8604"
"261","ASPH","444"
"262","PAICS","10606"
"264","SLC1A1","6505"
"265","ASRGL1","80150"
"266","ARG1","383"
"267","OAZ1","4946"
"268","SLC25A2","83884"
"269","SLC25A15","10166"
"270","CTPS1","1503"
"271","PPAT","5471"
"274","GLUL","2752"
"276","CREB1","1385"
"277","PRKAB1","5564"
"278","HINT1","3094"
"279","PRKAA1","5562"
"280","ADCY1","107"
"281","ACSL1","2180"
"282","ADK","132"
"283","FADS1","3992"
"284","FADS2","9415"
"285","SLC8A1","6546"
"286","TRPV1","7442"
"287","PPARA","5465"
"288","NR1H4","9971"
"289","PPARD","5467"
"290","PPARG","5468"
"291","RXRA","6256"
"292","ELOVL2","54898"
"293","ELOVL5","60481"
"294","METAP2","10988"
"296","BHMT","635"
"297","BHMT2","23743"
"298","VDR","7421"
"299","HOXA10","3206"
"300","SLC7A11","23657"
"301","CTNS","1497"
"302","SUCNR1","56670"
"303","RFK","55312"
"305","BLVRB","645"
"306","NAGK","55577"
"307","NAGPA","51172"
"308","NAGLU","4669"
"309","RENBP","5973"
"310","GRM1","2911"
"311","GRM4","2914"
"312","GRM7","2917"
"313","GRM8","2918"
"314","SLC1A7","6512"
"315","OPLAH","26873"
"316","PFAS","5198"
"318","SLC1A3","6507"
"319","SLC1A2","6506"
"320","GCLC","2729"
"321","SLC1A6","6511"
"322","GMPS","8833"
"324","ENPEP","2028"
"325","NADSYN1","55191"
"326","DNPEP","23549"
"327","CPQ","10404"
"328","GRIA1","2890"
"329","GCLM","2730"
"330","GAD2","2572"
"331","GRIA2","2891"
"332","GRIA3","2892"
"333","GRIA4","2893"
"334","ALDH18A1","5832"
"335","MGST3","4259"
"336","HPGDS","27306"
"337","GSTA1","2938"
"338","GSTA2","2939"
"339","MGST1","4257"
"340","ESD","2098"
"341","GGT1","2678"
"342","GSTM2","2946"
"343","GLRX","2745"
"344","GSTM5","2949"
"345","GPX6","257202"
"346","GPX1","2876"
"347","GPX7","2882"
"348","MGST2","4258"
"349","GSTO2","119391"
"350","GLO1","2739"
"351","LTC4S","4056"
"352","GSS","2937"
"353","GSTM1","2944"
"354","GSTK1","373156"
"355","GSTA3","2940"
