BU GU ZHI	-0.3687424
XIANG XUN	-0.74240506
MA QIAN ZI	-0.78734154
ZANG QIE	-0.81420666
DANG GUI	-0.8229625
LIAN YE TONG	-0.8765759
JIE GU MU	-0.8996122
YE HUANG PI	-0.9238002
HUAI NIU XI	-0.92795664
XIA TIAN WU	-0.92951775
GUA DI	-0.9596987
FAN MU GUA YE	-0.97052383
DUN YE JUE MING	-0.9847287
LIE DANG	-0.9871488
LING ZHI	-1.0293748
JI ZI KE	-1.0354992
KUN MING SHAN HAI TANG	-1.0356781
CHAI HU	-1.0428413
HEI GUO HUANG PI	-1.0527822
FENG RU	-1.0535678
XIAN DI HUANG	-1.0565
SHUI FEI JI	-1.0625478
LUO BU MA	-1.0706574
HAI NAN YE SHAN HUA	-1.0742162
GUANG YE BA DOU	-1.0780611
HUA MU PI	-1.0796669
LIAO DONG  CONG MU	-1.0937947
ZE XIE	-1.0967138
SHUI JIE GU DAN	-1.1053811
FENG DU	-1.1129477
XIAO HUA SUAN TENG ZI	-1.1187629
SI MIAN MU	-1.1189375
A LI HONG	-1.1249493
XI NAN WEN SHU LAN	-1.1292076
CAO WEN JING	-1.1306415
LAI FU	-1.1318715
SHAN TONG ZI	-1.1319896
YU DAI GEN	-1.1322333
YU YE GUI DENG QING	-1.1323581
DONG FENG JU GEN	-1.1430982
DUO CI LV RONG HAO	-1.1440072
TU GUA LANG DU	-1.1445643
QU MAI	-1.1453197
GAN DI HUANG	-1.1493801
DAN SHEN	-1.1499587
CONG MU	-1.1524966
HANG FAN	-1.1548624
PING E SHU	-1.1570895
NIU RU	-1.1571255
BA LA GUI CHA	-1.1574838
NIU ER DA HUANG	-1.1612073
YU ER QI	-1.1646183
YOU CHA GEN PI	-1.1685426
FENG JIAO	-1.174558
SHUI YANG MEI	-1.175864
MAN JIU JIE	-1.1774497
HONG KUAI ZI	-1.183812
MI HUA DOU	-1.1841793
CAN JIAN	-1.192352
HE SHOU WU	-1.1936257
JU YU	-1.1958033
FU SHOU CAO	-1.1970183
GU SUI BU	-1.2020649
BEI YUE GOU TENG	-1.2060204
YI MU CAO	-1.2101412
HUANG JIE GU DAN	-1.2154422
SHOU WU TENG	-1.2171205
XIANG HE HUAN	-1.2231236
BA JI	-1.2285898
PU HUANG	-1.2294183
GUANG XI JIU LI XIANG	-1.2306588
ZHU BAI	-1.2334175
WA ER TENG	-1.2387445
SHU DI HUANG	-1.2395778
SHE CHUANG ZI	-1.2408059
MING FAN	-1.249591
SHU LIANG	-1.2497127
BAI GUO YE	-1.2501034
GOU SHI HUA	-1.2552619
SHI DIAO BAI	-1.2556785
YI PIN HONG	-1.2572196
LENG FAN TUAN[YN	-1.2581574
XI QIN JIAO	-1.25844
XIA KU CAO	-1.2602684
FENG WEI PA SHAN HU	-1.2632606
NI HU CAI	-1.2658662
BAI  NIU XI	-1.2674292
MI HOU LI	-1.2683873
HUI ZHU NIU NAI CAI	-1.2693093
ZHU YE JU	-1.2709246
JIAO GU LAN	-1.2748411
CHUAN XIONG	-1.2753221
MAO YE BA DOU	-1.2769494
JIAN HAI LONG	-1.2828842
HOU PI SHU	-1.2836046
SHE XIANG	-1.2943423
HOU TOU JUN	-1.2952993
BIAN XU	-1.3003153
HUANG QI	-1.3027906
MU ER	-1.3039361
