ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
12,Voltage-dependent T-type calcium channel subunit alpha-1I,CACNA1I,5565888,AF129133,Q9P0X4,CAC1I_HUMAN,"",,CACNA1I,HGNC:1396,Humans,DB09498
22,Solute carrier family 13 member 1,SLC13A1,12620132,AF260824,Q9BZW2,S13A1_HUMAN,"",,SLC13A1,HGNC:10916,Humans,DB00139
24,Amiloride-sensitive sodium channel subunit beta,SCNN1B,1004271,X87159,P51168,SCNNB_HUMAN,"",,SCNN1B,HGNC:10600,Humans,DB14509
30,Cystine/glutamate transporter,SLC7A11,5668545,AB026891,Q9UPY5,XCT_HUMAN,"",,SLC7A11,HGNC:11059,Humans,DB01098; DB04348; DB05540; DB08833; DB08834
47,Solute carrier family 12 member 5,SLC12A5,12003227,AF208159,Q9H2X9,S12A5_HUMAN,"",,SLC12A5,HGNC:13818,Humans,DB00761
76,SEC14-like protein 4,SEC14L4,27803380,AY158085,Q9UDX3,S14L4_HUMAN,4TLG,,SEC14L4,HGNC:20627,Humans,DB11251; DB11635; DB14003
90,Potassium voltage-gated channel subfamily H member 2,KCNH2,487738,U04270,Q12809,KCNH2_HUMAN,1BYW; 1UJL; 2L0W; 2L1M; 2L4R; 2LE7; 4HP9; 4HQA,,KCNH2,HGNC:6251,Humans,DB12364
94,Sodium-dependent multivitamin transporter,SLC5A6,5006439,AF116241,Q9Y289,SC5A6_HUMAN,"",,SLC5A6,HGNC:11041,Humans,DB00121; DB08872
106,Solute carrier family 22 member 5,SLC22A5,3273741,AF057164,O76082,S22A5_HUMAN,"",,SLC22A5,HGNC:10969,Humans,DB00122; DB00125; DB00148; DB00152; DB00182; DB00184; DB00281; DB00313; DB00332; DB00345; DB00365; DB00368; DB00415; DB00456; DB00468; DB00501; DB00535; DB00536; DB00567; DB00575; DB00583; DB00619; DB00627; DB00661; DB00671; DB00689; DB00695; DB00871; DB00908; DB00970; DB00978; DB00983; DB00988; DB01000; DB01032; DB01035; DB01053; DB01059; DB01075; DB01140; DB01151; DB01165; DB01208; DB01333; DB01409; DB01413; DB01577; DB03128; DB04133; DB04630; DB05381; DB06691; DB06709; DB08795; DB08837; DB08842; DB09237; DB14006; DB14754
118,Synaptic vesicular amine transporter,SLC18A2,292335,L09118,Q05940,VMAT2_HUMAN,"",,SLC18A2,HGNC:10935,Humans,DB00714; DB01364
119,ATP-binding cassette sub-family A member 1,ABCA1,9247086,AF275948,O95477,ABCA1_HUMAN,"",,ABCA1,HGNC:29,Humans,DB00163; DB00675; DB11635
140,Solute carrier family 12 member 6,SLC12A6,6693798,AF116242,Q9UHW9,S12A6_HUMAN,"",,SLC12A6,HGNC:10914,Humans,DB00761
168,Solute carrier family 23 member 1,SLC23A1,3789785,AF058317,Q9UHI7,S23A1_HUMAN,"",,SLC23A1,HGNC:10974,Humans,DB00126
178,Monocarboxylate transporter 8,SLC16A2,458255,U05321,P36021,MOT8_HUMAN,"",,SLC16A2,HGNC:10923,Humans,DB00135; DB00149; DB00150; DB00451; DB01583; DB09100
189,Scavenger receptor class B member 1,SCARB1,397607,Z22555,Q8WTV0,SCRB1_HUMAN,"",,SCARB1,HGNC:1664,Humans,DB00163; DB11251; DB11635; DB14003
190,Amiloride-sensitive sodium channel subunit alpha,SCNN1A,452650,X76180,P37088,SCNNA_HUMAN,2M3O,,SCNN1A,HGNC:10599,Humans,DB14509
222,Large neutral amino acids transporter small subunit 1,SLC7A5,3639058,AF077866,Q01650,LAT1_HUMAN,"",,SLC7A5,HGNC:11063,Humans,DB00130; DB00230; DB00279; DB00451; DB00509; DB00996; DB01042; DB01235; DB01746; DB02556; DB02750; DB09100
229,Sodium/potassium-transporting ATPase subunit gamma,FXYD2,1575004,U50743,P54710,ATNG_HUMAN,2MKV,,FXYD2,HGNC:4026,Humans,DB09479
236,Neutral amino acid transporter B(0),SLC1A5,1478281,U53347,Q15758,AAAT_HUMAN,"",,SLC1A5,HGNC:10943,Humans,DB00130
238,Transcobalamin-1,TCN1,307479,J05068,P20061,TCO1_HUMAN,2CKV; 4KKI; 4KKJ,,TCN1,HGNC:11652,Humans,DB00115
256,SEC14-like protein 2,SEC14L2,5596693,AL096881,O76054,S14L2_HUMAN,1O6U; 1OLM; 4OMJ; 4OMK,,SEC14L2,HGNC:10699,Humans,DB11251; DB11635; DB14003
271,Folate receptor beta,FOLR2,1655592,X69516,P14207,FOLR2_HUMAN,4KMY; 4KMZ; 4KN0; 4KN1; 4KN2,,FOLR2,HGNC:3793,Humans,DB00563
276,Solute carrier family 12 member 7,SLC12A7,5106521,AF105365,Q9Y666,S12A7_HUMAN,"",,SLC12A7,HGNC:10915,Humans,DB00761
281,Solute carrier family 12 member 2,SLC12A2,903682,U30246,P55011,S12A2_HUMAN,"",,SLC12A2,HGNC:10911,Humans,DB00761; DB11098
285,Sodium-coupled neutral amino acid transporter 3,SLC38A3,10242111,AF244548,Q99624,S38A3_HUMAN,"",,SLC38A3,HGNC:18044,Humans,DB00130
339,SEC14-like protein 3,SEC14L3,27803382,AY158086,Q9UDX4,S14L3_HUMAN,4UYB,,SEC14L3,HGNC:18655,Humans,DB11251; DB11635; DB14003
340,Protein amnionless,AMN,13507259,AF328788,Q9BXJ7,AMNLS_HUMAN,"",,AMN,HGNC:14604,Humans,DB00115
353,Acid-sensing ion channel 1,ASIC1,1871168,U78180,P78348,ASIC1_HUMAN,"",,ACCN2,HGNC:100,Humans,DB00586
362,Transcobalamin-2,TCN2,339196,M60396,P20062,TCO2_HUMAN,2BB5,,TCN2,HGNC:11653,Humans,DB00115
423,Sodium- and chloride-dependent neutral and basic amino acid transporter B(0+),SLC6A14,5732680,AF151978,Q9UN76,S6A14_HUMAN,"",,SLC6A14,HGNC:11047,Humans,DB00130; DB00577; DB01610; DB03929
440,Monocarboxylate transporter 2,SLC16A7,3047402,AF058056,O60669,MOT2_HUMAN,"",,SLC16A7,HGNC:10928,Humans,DB00119; DB01032; DB01440; DB01762; DB03066; DB03773; DB04074; DB04216; DB04398; DB04552
447,Solute carrier family 13 member 2,SLC13A2,1098557,U26209,Q13183,S13A2_HUMAN,"",,SLC13A2,HGNC:10917,Humans,DB00139; DB09154
449,Monocarboxylate transporter 4,SLC16A3,2463634,U81800,O15427,MOT4_HUMAN,"",,SLC16A3,HGNC:10924,Humans,DB00119; DB00627; DB01440; DB01762; DB01942; DB03066; DB03884; DB03940; DB04074; DB04343; DB04398; DB07767
486,Sodium-dependent noradrenaline transporter,SLC6A2,189258,M65105,P23975,SC6A2_HUMAN,"",,SLC6A2,HGNC:11048,Humans,DB00368; DB00540; DB00721; DB00852; DB01454; DB06262; DB06704; DB09194; DB09363; DB09546
497,Amiloride-sensitive sodium channel subunit gamma,SCNN1G,1004273,X87160,P51170,SCNNG_HUMAN,"",,SCNN1G,HGNC:10602,Humans,DB14509
502,Solute carrier family 12 member 1,SLC12A1,1373425,U58130,Q13621,S12A1_HUMAN,"",,SLC12A1,HGNC:10910,Humans,DB00761; DB11098; DB13620; DB14500
508,Cellular retinoic acid-binding protein 1,CRABP1,241542,S74445,P29762,RABP1_HUMAN,"",,CRABP1,HGNC:2338,Humans,DB00755
530,Serum albumin,ALB,28590,V00494,P02768,ALBU_HUMAN,1AO6; 1BJ5; 1BKE; 1BM0; 1E78; 1E7A; 1E7B; 1E7C; 1E7E; 1E7F; 1E7G; 1E7H; 1E7I; 1GNI; 1GNJ; 1H9Z; 1HA2; 1HK1; 1HK2; 1HK3; 1HK4; 1HK5; 1N5U; 1O9X; 1TF0; 1UOR; 1YSX; 2BX8; 2BXA; 2BXB; 2BXC; 2BXD; 2BXE; 2BXF; 2BXG; 2BXH; 2BXI; 2BXK; 2BXL; 2BXM; 2BXN; 2BXO; 2BXP; 2BXQ; 2ESG; 2I2Z; 2I30; 2N0X; 2VDB; 2VUE; 2VUF; 2XSI; 2XVQ; 2XVU; 2XVV; 2XVW; 2XW0; 2XW1; 2YDF; 3A73; 3B9L; 3B9M; 3CX9; 3JQZ; 3JRY; 3LU6; 3LU7; 3LU8; 3SQJ; 3TDL; 3UIV; 4BKE; 4E99; 4EMX; 4G03; 4G04; 4HGK; 4HGM; 4IW1; 4IW2; 4K2C; 4K71; 4L8U; 4L9K; 4L9Q; 4LA0; 4LB2; 4LB9; 4N0F; 4N0U; 4S1Y,,ALB,HGNC:399,Humans,DB06778
536,Proton-coupled amino acid transporter 1,SLC36A1,31324239,AF516142,Q7Z2H8,S36A1_HUMAN,"",,SLC36A1,HGNC:18761,Humans,DB00145; DB00563; DB01080; DB01956; DB02530; DB02853; DB06554; DB08835; DB08847; DB08849
601,Solute carrier family 12 member 4,SLC12A4,1399212,U55054,Q9UP95,S12A4_HUMAN,"",,SLC12A4,HGNC:10913,Humans,DB00761
611,Solute carrier family 13 member 3,SLC13A3,8132324,AF154121,Q8WWT9,S13A3_HUMAN,"",,SLC13A3,HGNC:14430,Humans,DB00139
643,Alpha-tocopherol transfer protein,TTPA,699601,D49488,P49638,TTPA_HUMAN,1OIP; 1OIZ; 1R5L,,TTPA,HGNC:12404,Humans,DB11251; DB11635; DB14003
647,Sodium-dependent dopamine transporter,SLC6A3,553260,M96670,Q01959,SC6A3_HUMAN,"",,SLC6A3,HGNC:11049,Humans,DB00721; DB00852; DB00907; DB01454; DB01576; DB08824; DB09194
669,Monocarboxylate transporter 1,SLC16A1,561722,L31801,P53985,MOT1_HUMAN,"",,SLC16A1,HGNC:10922,Humans,DB00119; DB00142; DB00175; DB00313; DB00345; DB00415; DB00529; DB00563; DB00627; DB00731; DB00936; DB01032; DB01440; DB01762; DB03066; DB03166; DB03773; DB03793; DB04074; DB04216; DB04348; DB04398; DB04552; DB07767; DB08892
696,High affinity choline transporter 1,SLC5A7,10998442,AF276871,Q9GZV3,SC5A7_HUMAN,"",,SLC5A7,HGNC:14025,Humans,DB00122; DB14006
703,Bile salt export pump,ABCB11,3873243,AF091582,O95342,ABCBB_HUMAN,"",,ABCB11,HGNC:42,Humans,DB00091; DB00175; DB00176; DB00197; DB00199; DB00206; DB00220; DB00222; DB00224; DB00227; DB00243; DB00255; DB00257; DB00270; DB00275; DB00301; DB00328; DB00335; DB00342; DB00390; DB00396; DB00412; DB00421; DB00439; DB00455; DB00477; DB00482; DB00501; DB00503; DB00541; DB00559; DB00570; DB00572; DB00586; DB00619; DB00622; DB00625; DB00637; DB00641; DB00675; DB00678; DB00693; DB00698; DB00788; DB00822; DB00833; DB00834; DB00908; DB00911; DB00912; DB00932; DB00966; DB00973; DB00975; DB00977; DB00997; DB01015; DB01016; DB01023; DB01026; DB01039; DB01045; DB01054; DB01067; DB01072; DB01076; DB01098; DB01115; DB01118; DB01138; DB01149; DB01165; DB01174; DB01211; DB01222; DB01229; DB01232; DB01234; DB01586; DB01601; DB02123; DB02659; DB02703; DB03619; DB04348; DB05804; DB05990; DB06176; DB06290; DB08834; DB08860; DB09078; DB09374; DB11886; DB12070; DB12151; DB12319; DB12712; DB13345; DB13751; DB14057; DB14649; DB14761; DB15133; DB15233; DB15719; DB15822
730,Mitochondrial folate transporter/carrier,SLC25A32,11545417,AF283645,Q9H2D1,MFTC_HUMAN,"",,SLC25A32,HGNC:29683,Humans,DB00158
732,Sodium/potassium-transporting ATPase subunit alpha-1,ATP1A1,219942,D00099,P05023,AT1A1_HUMAN,"",,ATP1A1,HGNC:799,Humans,DB09479; DB13620; DB14500
739,Ryanodine receptor 1,RYR1,337722,J05200,P21817,RYR1_HUMAN,"",,RYR1,HGNC:10483,Humans,DB11093; DB11348; DB14481
749,Sodium-dependent serotonin transporter,SLC6A4,36433,X70697,P31645,SC6A4_HUMAN,"",,SLC6A4,HGNC:11050,Humans,DB00370; DB00721; DB00852; DB01079; DB01454; DB09194
